4c2b76ce-ee07-46f6-a689-feb711a6961a,Claudia,Raffelhüschen,,175709.png,f,1968,,Dipl.-Volkswirtin,,"MdB, Dozentin",,175709,4
410ff1e0-141b-4bb4-8095-5f0d8171f3d2,Jürgen,Hardt,Hardt,78863.png,m,1963,,Dipl. Volkswirt,Wuppertal,MdB,,78863,2
67c8517a-2f23-4a02-bf16-7c086e81c761,Beate,Walter-Rosenheimer,,78936.png,f,1964,,Diplom Psychologin,,MdB,,78936,5
e0c5d02d-a3fc-466d-bc74-8563bfe60d41,Markus,Uhl,,138540.png,m,1979,,Dipl.-Kaufmann,,MdB,,138540,2
a03cdf80-7167-4c34-a7f7-5e72631ed58c,Nadine,Schön,,79011.png,f,1983,,Diplom-Juristin,Tholey,MdB,,79011,2
6f2b34c5-b78d-4741-8e0e-5f46d72b6b84,Sascha,Müller,,146018.png,m,1970,,Politikwissenschaft,Nürnberg,"Sportjournalist, Landesschatzmeister",,146018,5
d5a25a9a-3ef7-4c7b-87ed-34831e59f9ce,Andreas,Schwarz,,79000.png,m,1965,,Dipl. Betriebswirt (FH),,MdB,,79000,1
bc73fd0d-8fe9-4ad0-a6c9-37c1134a60ff,Aydan,Özoğuz,,79097.png,f,1967,,Magister Anglistik,,Vizepräsidentin des Deutschen Bundestages,,79097,1
708f7756-e5e3-47a1-a5dd-93f81b35eb49,Kassem,Taher Saleh,,175594.png,m,1993,,Diplom Ingenieur,Dresden,Bauleiter,,175594,5
60d1c4d3-aa55-4eaf-bc8b-9f9a91c6241f,Lisa,Paus,,79090.png,f,1968,,Diplom Volkswirtin,,MdB,,79090,5
2d6a6e06-9b1e-475c-96c9-896996224881,Ottilie,Klein,,175877.png,f,1984,,,Berlin,Abteilungsdirektorin,Dr.,175877,2
6aaa2058-6d73-4e95-82fe-aae6162e01d5,Jonas,Geissler,,125186.png,m,1984,,"Politikwissenschaft, Geschichte und Internationale Beziehungen",,MdB,Dr.,125186,3
afd717fb-492b-4e43-96ac-4d1c86523fb0,Carsten,Linnemann,,79149.png,m,1977,,Diplom-Volkswirt,,MdB,,79149,2
d473bb3f-ff3f-401b-bc29-58f4e37ab218,Christian,Haase,,79332.png,m,1966,,Diplom-Verwaltungswirt (FH),,MdB,,79332,2
53b2f9a2-53ce-47f0-85a5-a231f250ec71,Nina,Scheer,,79023.png,f,1971,,"Musikstudium, Jurastudium, Politikwissenschaftliche Promotion",,MdB,Dr.,79023,1
a37c9d9c-efd4-4e96-b0bd-34210328b064,Bettina,Hagedorn,,79333.png,f,1955,,Goldschmiedin,,MdB,,79333,1
e8410895-7f82-4742-9815-979ca33ce6c7,Kristian,Klinck,,175458.png,m,1979,,"Studium der Politikwissenschaft, Dr. rer. pol., 2. Staatsexamen Lehramt an Gymnasien",Preetz,Studienrat,,175458,1
1a277f77-681a-4095-989b-694042fccbcb,Sönke,Rix,,79065.png,m,1975,,Erzieher,,Mitglied des Deutschen Bundestages,,79065,1
d0d5568a-6ab9-4844-8a41-02e61a7ecdab,Robert,Habeck,,139064.png,m,1969,,"Philosoph, Schriftsteller",Flensburg ,"Bundesminister für Wirtschaft und Klimaschutz, MdB",,139064,5
e536d4fe-4847-4994-a590-d9fdab05e328,Markus,Frohnmaier,,108761.png,m,1991,,Rechtswissenschaft,,MdB,,108761,9
feefd8f1-db1a-430c-9f90-e9258afccfc0,Martin,Gassner-Herz,Gassner,175774.png,m,1985,,MA Politikwissenschaft,Schutterwald,Verwaltungsangestellter,,175774,4
5e34a90d-7a26-4e1e-8502-2eca44c77200,Ann-Veruschka,Jurisch,,175696.png,f,1972,,Juristin (Dr. jur.),Konstanz,,Dr.,175696,4
afe751c2-eafc-40a6-a820-894ae6e18f6d,Tobias B.,Bacherle,,146028.png,m,1994,,Politik- und Medienwissenschaft,Sindelfingen,Student,,146028,5
2205c434-89bc-4caa-9931-dbe81ddd71f8,Christian,Wirth,,150296.png,m,1963,,Rechtsanwalt,,MdB,Dr.,150296,9
25fcfb93-3077-4f47-a34e-2e89ce6bec59,Dieter,Janecek,,79275.png,m,1976,,Politikwissenschaftler,,MdB,,79275,5
faeb92a5-9e43-4d79-aaf3-5c3ac6e412df,Tobias Matthias,Peterka,,122063.png,m,1982,,,,MdB,,122063,9
e1d6e273-2323-4931-82d0-a6ef990d9494,Katrin,Göring-Eckardt,,78886.png,f,1966,,,,"MdB, Vizepräsidentin des Deutschen Bundestages",,78886,5
c14e07c1-20d2-406f-b577-0f75f5fac669,Jürgen,Pohl,,145783.png,m,1964,,Jurist,,"MdB, Rechtsanwalt",,145783,9
b461776d-6043-487c-b64d-3c3c79df2f42,Ali,Al-Dailami,,120819.png,m,1981,"Ist am 23.10.2023 aus der Partei DIE LINKE ausgetreten. Seit dem 08.01.2024, dem Gründungsdatum, Mitglied der Partei Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit (BSW).",Restaurantfachmann,,Angestellter,,120819,229
8b77cc89-710a-4c3f-9826-c399c3e1dd7b,Janine,Wissler,,135302.png,f,1981,,Dipl. Politologin,,"MdB im Finanzausschuss, Parteivorsitzende DIE LINKE",,135302,8
6da1f74d-e5a3-4f88-a2a9-d33b10d797e4,Boris,Mijatović,,145984.png,m,1974,,Politikwissenschaftler,Kassel,Mitglied des deutschen Bundestages,,145984,5
eaa22800-7a6b-4eed-95ba-bda6ba248194,Franziska,Mascheck,,175428.png,f,1979,,Sozialarbeiterin,Linda,"Bundestagsabgeordnete, Stadträtin Frohburg, Kulturschaffende",,175428,1
e6639afe-f646-418e-8911-4629993dd0a4,Daniela,Kluckert,,122880.png,f,1980,,Diplom Volkswirtin,Berlin-Tempelhof,MdB,,122880,4
ad34ab74-54e3-40cd-b74a-91a87526f716,Christoph,Meyer,,134400.png,m,1975,,Bankkaufmann,Berlin,"MdB, Rechtsanwalt",,134400,4
95c52a31-ba26-4128-a87f-34e19e5839bd,Renate,Künast,,79217.png,f,1955,,Juristin und Sozialarbeiterin,,MdB,,79217,5
c064ee8e-fc86-42b1-8b8c-84098c42281b,Ruppert,Stüwe,,175488.png,m,1978,,Dipl. Volkswirt,Berlin,Angestellter Berliner Verkehrsbetriebe (BVG) AöR,,175488,1
341e30ed-ba85-4d34-9583-bc4c6944473b,Annika,Klose,,175401.png,f,1992,,Sozialwissenschaftlerin,Berlin,,,175401,1
6e5740b9-d208-4acc-9bb4-4fe2df84dd0d,Petra,Pau,,79091.png,f,1963,,"Lehrerin, Gesellschaftswissenschaftlerin",,MdB,,79091,8
2797499b-bed2-48b4-a1a3-804e9bfe8812,Anke,Domscheit-Berg,,29199.png,f,1968,,M.A. European Business Administration,Fürstenberg/Havel,"MdB, Publizistin",,29199,8
4d7049d3-f18a-4b63-b6e0-0161e0b0705c,Hannes,Gnauck,,175923.png,m,1991,,Soldat auf Zeit,,Personalfeldwebel,,175923,9
bbb09017-4e58-4191-8e0d-a2d9272efb2b,Matthias W.,Birkwald,,78882.png,m,1961,,Diplom-Sozialwissenschaftler,,MdB,,78882,8
82b8178f-efa6-45fa-8c65-bdb609f42603,Emilia,Fester,,173148.png,f,1998,,,,Regieassistentin für Kindertheater,,173148,5
bbfe699b-8400-45cf-8fd0-a186aa96bae7,Katharina,Beck,,175596.png,f,1982,,"Diplom Regionalwissenschaftlerin, Finanzbetriebswirtin (IWW)",Hamburg,Unternehmensberaterin für Nachhaltigkeit,,175596,5
7a4df0e3-2fb3-450a-8638-c043bba6d056,Franziska,Hoppermann,,175851.png,f,1982,,Dipl. Kauffrau,Hamburg,Leitende Regierungsbeamtin,,175851,2
331d7c41-25fb-419c-aae4-c7be27c7163f,Stefan,Seidler,,176316.png,m,1979,,Master of Science,Flensburg,Politischer Berater,,176316,145
fe07b552-777d-4161-9a74-6a5e882e097b,Cornelia,Möhring,,79125.png,f,1960,,Dipl. Sozialökonomin,,MdB,,79125,8
4b104386-dc77-46a0-a233-d56ffca756ca,Gereon,Bollmann,,147321.png,m,1953,,Jurist,,Richter am Oberlandesgericht (a.D.),,147321,9
eaafe70b-46dc-46d1-b42c-4622a4e027e6,Uwe,Witt,,150295.png,m,1959,,"Staatl. gepr. Techniker, Dipl.-Personalbetriebswirt (IDB)",,MdB,,150295,185
f9d8f7c0-ec42-4e0a-9238-2c95690696d3,Bruno,Hönel,Bruno Hönel,175542.png,m,1996,,Psychologe (M.Sc.),Lübeck,,,175542,5
fc8a6da2-d064-4615-9c18-746fec1148aa,Denise,Loop,Loop,175557.png,f,1994,,Sozialarbeiterin,,Angestellte im öffentlichen Dienst,,175557,5
69c44cd7-f3c1-43b6-9009-50073acffc0e,Konstantin,von Notz,,78819.png,m,1971,,Jurist,Mölln,MdB,Dr.,78819,5
ac70cbe5-e3c0-487b-9996-4f9f43e5955b,Ingrid,Nestle,,120104.png,f,1977,,Diplom-Wirtschaftsingenieurin,,MdB,,120104,5
bcc81a1a-b01e-4a99-928c-c028a101e49c,Luise,Amtsberg,,139271.png,f,1984,,Islamwissenschaftlerin,,MdB & Beauftragte der Bundesregierung für Menschenrechtspolitik und humanitäre Hilfe,,139271,5
a4535263-e324-48dd-9f46-93ed0979781f,Max,Mordhorst,,175778.png,m,1996,,,Kiel,,,175778,4
3b721c95-acf9-48ad-b7c5-263bf2fbc024,Christine,Aschenberg-Dugnus,,118250.png,f,1959,,,,"MdB, Rechtsanwältin",,118250,4
d18c152a-617e-4cc4-8bb4-078a1a3307ac,Gyde,Jensen,,151468.png,f,1989,,"Studium Anglistik, Politikwissenschaft und Internationale Politik",,Mitglied des Bundestages,,151468,4
caab1b3f-ca74-487a-bfd7-17707816d265,Wolfgang,Kubicki,,122157.png,m,1952,,Rechtsanwalt,Strande bei Kiel,"MdB, Bundestagsvizepräsident",,122157,4
30664753-9f03-4e63-ada2-757215dc304a,Petra,Nicolaisen,,130900.png,f,1965,,Industriekauffrau,,MdB,,130900,2
b1046433-5510-4032-b8af-0c3d43af1464,Ingo,Gädechens,,79362.png,m,1960,,,,MdB,,79362,2
ede220df-fb54-4496-a577-ed479570f83a,Johann,Wadephul,,78818.png,m,1963,,Jurist,,Rechtsanwalt/ MdB,Dr.,78818,2
108550d2-64c5-4ae0-b270-1267d587416e,Alexander,Throm,,108605.png,m,1968,,Volljurist,,"MdB, Rechtsanwalt",,108605,2
60685741-d4cf-435c-8835-8b9d7dd1886f,Fabian,Gramling,,108738.png,m,1987,,Betriebswirt,,MdB,,108738,2
c7021459-7fdb-45e8-8459-155bd09923aa,Steffen,Bilger,,79444.png,m,1979,,Rechtsanwalt,,MdB für den Wahlkreis Ludwigsburg | stellvertretender Vorsitzender der CDU/CSU-Bundestagsfraktion,,79444,2
077a68b3-b8b4-431f-99d1-4b241bb45125,Christina,Stumpp,,177578.png,f,1987,,"Steuerrechtlerin LL.B., Verwaltungswirtin",Waiblingen,"Persönliche Referentin des Ministers für Ernährung, Ländlichen Raum und Verbraucherschutz in Baden-Württemberg",,177578,2
d020a293-a060-4435-8330-884bf9c69d4d,Marc,Biadacz,,145893.png,m,1979,,Sozialwissenschaftler (M.A.),,MdB,,145893,2
a90ff514-3503-40f4-a037-bc67f975ef27,Maximilian,Mörseburg,,175873.png,m,1992,,Volljurist,Stuttgart,MdB,,175873,2
